Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
50538538,The Vanishing Half,Brit Bennett,"Bennett, Brit",,"=""034970144X""","=""""",4,4.16,Dialogue Books,Kindle Edition,346,2020,2020,2021/07/05,2021/07/05,,,read,,,,1,0
52328591,The Final Game (MCM Investigations #1),Caimh McDonnell,"McDonnell, Caimh",,"=""1912897091""","=""""",4,4.39,McFori Ink,Kindle Edition,368,2020,2020,,2021/02/06,,,read,,,,1,0
50212494,The Flatshare,Beth O'Leary,"O'Leary, Beth",,"=""""","=""""",2,4.02,Quercus,Kindle Edition,329,2019,2019,,2021/02/06,,,read,,,,1,0
13005587,Wild Swans: Three Daughters of China,Jung Chang,"Chang, Jung",,"=""0007379870""","=""""",5,4.27,Harper Perennial,Kindle Edition,720,2011,1991,,2021/01/12,,,read,,,,1,0
386482,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Miguel Ruiz,"Ruiz, Miguel",,"=""1878424319""","=""9781878424310""",4,4.18,"Amber-Allen Publishing, Incorporated",Paperback,140,1997,1997,,2020/10/15,,,read,,,,1,0
42285012,The Beekeeper of Aleppo,Christy Lefteri,"Lefteri, Christy",,"=""""","=""""",3,4.17,Zaffre,Kindle Edition,337,2019,2019,,2020/10/15,,,read,,,,1,0
40888865,Less,Andrew Sean Greer,"Greer, Andrew Sean",,"=""""","=""""",3,3.64,Abacus,Kindle Edition,234,2018,2017,,2020/10/15,,,read,,,,1,0
52146466,Before the Coffee Gets Cold,Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1035034506""","=""9781035034505""",5,3.71,Picador,Kindle Edition,227,2019,2015,,2020/10/15,,,read,,,,1,0
45134200,The Switch,Beth O'Leary,"O'Leary, Beth",,"=""1787475018""","=""""",4,3.97,Quercus,Kindle Edition,336,2020,2020,,2020/10/15,,,read,,,,1,0
51147721,Dominicana,Angie Cruz,"Cruz, Angie",,"=""152930489X""","=""""",3,4.12,John Murray,Kindle Edition,334,2019,2019,2020/07/12,2020/07/12,,,read,,,,1,0
44064191,The Sympathizer,Viet Thanh Nguyen,"Nguyen, Viet Thanh",,"=""""","=""""",5,4.00,Corsair,Kindle Edition,384,2015,2015,,2020/07/02,,,read,,,,1,0
52164381,Queenie,Candice Carty-Williams,"Carty-Williams, Candice",,"=""""","=""""",4,3.87,Trapeze,Kindle Edition,353,2020,2019,,2020/07/02,,,read,,,,1,0
49933606,"Girl, Woman, Other",Bernardine Evaristo,"Evaristo, Bernardine",,"=""""","=""""",4,4.30,Penguin,Paperback,453,2020,2019,,2020/07/02,,,read,,,,1,0
266466,Fiesta: The Sun Also Rises,Ernest Hemingway,"Hemingway, Ernest",,"=""0099908506""","=""9780099908500""",2,3.80,Arrow Books,Mass Market Paperback,216,1994,1926,,2020/07/02,,,read,,,,1,0
588234,Ceremony,Leslie Marmon Silko,"Silko, Leslie Marmon",,"=""0140086838""","=""9780140086836""",0,3.83,Penguin Books,Paperback,262,1986,1977,,2020/06/20,to-read,to-read (#5),to-read,,,,0,0
11206,In the Time of the Butterflies,Julia Alvarez,"Alvarez, Julia",,"=""0452274427""","=""9780452274426""",0,4.15,Plume,Paperback,324,1995,1994,,2020/06/20,to-read,to-read (#4),to-read,,,,0,0
35658977,"The Lost Future of Pepperharrow (The Watchmaker of Filigree Street, #2)",Natasha Pulley,"Pulley, Natasha",,"=""1408885190""","=""9781408885192""",0,4.30,Bloomsbury Publishing,ebook,512,2020,2020,,2020/06/19,to-read,to-read (#3),to-read,,,,0,0
206223,The Gangster We Are All Looking For,Lê Thi Diem Thúy,"Thúy, Lê Thi Diem",,"=""0375700021""","=""9780375700026""",0,3.67,Anchor Books,Paperback,160,2004,2003,,2020/06/19,to-read,to-read (#2),to-read,,,,0,0
35051839,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""178669137X""","=""9781786691378""",5,4.33,Head of Zeus,Paperback,537,2017,2017,,2020/06/19,,,read,,,,1,0
48503963,"The Evening and the Morning (Kingsbridge, #0)",Ken Follett,"Follett, Ken",,"=""144727878X""","=""9781447278788""",0,4.38,Macmillan,Hardcover,817,2020,2020,,2020/06/19,to-read,to-read (#1),to-read,,,,0,0
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",3,4.32,Scribner,Hardcover,531,2014,2014,,2020/06/19,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,,2020/06/19,,,read,,,,1,0
947755,Monkey Hunting: A Novel (Ballantine Reader's Circle),Cristina García,"García, Cristina",,"=""0345466101""","=""9780345466105""",4,3.65,Ballantine Books,Paperback,288,2004,2003,,2020/06/19,,,read,,,,1,0
774310,Animal Farm,George Orwell,"Orwell, George",,"=""""","=""""",5,3.98,Penguin Books,Paperback,120,2000,1945,,2020/06/19,,,read,,,,1,0
